class,precision,recall,f1
AK,0.6827,0.5462,0.6068
BCC,0.6550,0.8996,0.7580
BKL,0.6979,0.5878,0.6381
DF,0.5490,0.8000,0.6512
MEL,0.7833,0.5546,0.6494
NV,0.8564,0.8897,0.8727
SCC,0.7313,0.5213,0.6087
VASC,0.4658,0.9189,0.6182
weighted,0.7848,0.7785,0.7733
