class,precision,recall,f1
AK,0.8125,0.3333,0.4727
BCC,0.7627,0.9060,0.8282
BKL,0.6778,0.5169,0.5865
DF,0.8333,0.5000,0.6250
MEL,0.8065,0.4926,0.6116
NV,0.7903,0.9568,0.8656
SCC,1.0000,0.4286,0.6000
VASC,0.9091,0.9091,0.9091
weighted,0.7853,0.7828,0.7647
